ministry,keyword_hit_rate,keyword_hit_rate,keyword_hit_rate,keyword_hit_rate,rougeL_f1,rougeL_f1,rougeL_f1,rougeL_f1,bertscore_f1,bertscore_f1,bertscore_f1,bertscore_f1
,C1,C2,C3,C6,C1,C2,C3,C6,C1,C2,C3,C6
ayush,0.246,0.229,0.091,0.238,0.079,0.088,0.06,0.084,0.659,0.67,0.637,0.652
education,0.368,0.361,0.137,0.306,0.279,0.275,0.121,0.247,0.834,0.819,0.678,0.777
labour,0.441,0.466,0.217,0.425,0.287,0.291,0.136,0.282,0.794,0.802,0.667,0.787
women,0.41,0.403,0.268,0.402,0.22,0.241,0.153,0.246,0.772,0.805,0.688,0.76
